Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Overall_Satisfaction,Satisfaction_Level,Feedback_Comment,Sentiment_Score,Sentiment_Label,TB_Polarity,TB_Subjectivity,TB_Sentiment_Label
702,8,4,7,1,2,1,8,8,4.875,Low,"Didn't enjoy the course, it was hard to follow.",-0.4639,Negative,0.05416666666666667,0.5208333333333333,Positive
541,5,4,4,2,2,7,8,1,4.125,Low,The course was too difficult and explanations weren’t clear.,0.0258,Neutral,-0.2,0.6916666666666667,Negative
552,5,6,7,2,7,4,4,2,4.625,Low,"Didn't enjoy the course, it was hard to follow.",-0.4639,Negative,0.05416666666666667,0.5208333333333333,Positive
510,6,7,8,3,4,7,7,6,6.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
159,7,7,6,6,3,9,3,1,5.25,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
223,9,10,4,5,7,10,10,6,7.625,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
807,8,3,4,2,2,4,6,1,3.75,Low,The course was too difficult and explanations weren’t clear.,0.0258,Neutral,-0.2,0.6916666666666667,Negative
525,9,9,4,3,5,5,9,2,5.75,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
799,5,6,5,4,2,1,1,7,3.875,Low,Assignments were confusing and not properly structured.,-0.2263,Negative,-0.15,0.25,Negative
24,9,10,6,10,2,10,1,9,7.125,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
509,8,2,7,5,2,3,4,4,4.375,Low,The course was too difficult and explanations weren’t clear.,0.0258,Neutral,-0.2,0.6916666666666667,Negative
797,9,10,4,10,9,2,10,7,7.625,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
418,8,8,6,7,9,5,2,8,6.625,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
48,5,5,4,2,1,10,10,9,5.75,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
657,9,5,7,3,2,8,10,6,6.25,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
864,9,8,5,2,3,9,2,8,5.75,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
861,5,6,4,5,4,4,6,6,5.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
118,9,10,7,7,4,6,9,1,6.625,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
387,7,3,8,1,6,8,6,8,5.875,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
282,5,6,7,3,8,1,1,9,5.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
503,8,6,6,3,3,6,4,10,5.75,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
934,5,6,4,6,10,3,4,10,6.0,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
781,8,3,4,5,1,8,10,5,5.5,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
898,10,10,4,3,5,4,2,1,4.875,Low,Assignments were confusing and not properly structured.,-0.2263,Negative,-0.15,0.25,Negative
474,8,3,7,6,4,3,7,7,5.625,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
704,9,9,8,6,8,4,8,5,7.125,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
977,9,5,4,4,6,3,1,9,5.125,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
454,9,6,6,1,10,8,10,7,7.125,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
295,5,7,6,3,1,7,2,9,5.0,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
35,10,6,4,5,6,2,3,1,4.625,Low,Assignments were confusing and not properly structured.,-0.2263,Negative,-0.15,0.25,Negative
304,9,9,4,6,5,1,7,2,5.375,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
56,6,9,6,8,9,6,2,4,6.25,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
922,8,10,7,4,5,9,3,5,6.375,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
569,10,7,6,9,2,6,2,5,5.875,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
186,6,4,4,4,6,9,10,10,6.625,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
258,7,2,7,2,7,2,6,10,5.375,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
560,8,7,8,3,8,7,4,8,6.625,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
621,10,4,5,1,5,10,1,10,5.75,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
568,10,7,4,6,10,8,10,8,7.875,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
393,6,9,8,7,5,8,1,4,6.0,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
12,8,10,7,2,8,9,6,6,7.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
798,7,2,8,7,10,5,3,5,5.875,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
740,8,10,7,3,2,10,10,1,6.375,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
184,10,9,8,6,4,8,8,9,7.75,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
410,7,2,5,2,6,6,3,10,5.125,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
480,10,6,7,8,5,3,1,5,5.625,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
84,7,4,6,10,7,7,8,9,7.25,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
89,9,9,4,5,1,2,3,9,5.25,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
763,6,9,6,7,6,10,2,5,6.375,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
86,7,8,6,8,3,10,2,7,6.375,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
867,6,4,6,4,2,7,5,3,4.625,Low,Assignments were confusing and not properly structured.,-0.2263,Negative,-0.15,0.25,Negative
248,6,6,4,6,6,6,2,3,4.875,Low,"Didn't enjoy the course, it was hard to follow.",-0.4639,Negative,0.05416666666666667,0.5208333333333333,Positive
751,7,3,8,10,2,7,2,6,5.625,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
522,6,9,8,10,9,5,3,6,7.0,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
696,5,5,4,9,3,1,8,6,5.125,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
274,8,2,4,7,10,8,5,8,6.5,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
921,9,7,5,10,10,9,6,4,7.5,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
957,6,2,7,8,5,9,5,4,5.75,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
88,9,4,4,9,9,9,7,10,7.625,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
149,5,6,5,1,8,9,7,8,6.125,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
737,7,9,4,5,5,2,2,1,4.375,Low,The course was too difficult and explanations weren’t clear.,0.0258,Neutral,-0.2,0.6916666666666667,Negative
891,7,2,4,9,6,9,7,9,6.625,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
1,9,6,8,7,6,5,3,10,6.75,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
868,7,9,7,2,6,2,9,4,5.75,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
895,5,5,7,7,2,1,8,9,5.5,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
638,9,10,8,2,1,1,4,8,5.375,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
707,5,6,6,5,1,9,6,9,5.875,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
432,9,9,6,8,2,3,2,4,5.375,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
988,7,4,6,7,6,9,7,1,5.875,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
742,7,7,8,2,1,1,8,1,4.375,Low,Assignments were confusing and not properly structured.,-0.2263,Negative,-0.15,0.25,Negative
730,6,5,4,5,6,6,7,2,5.125,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
321,5,7,6,2,3,5,3,5,4.5,Low,Assignments were confusing and not properly structured.,-0.2263,Negative,-0.15,0.25,Negative
904,8,5,8,9,7,9,8,6,7.5,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
171,6,10,4,6,1,6,2,3,4.75,Low,"Didn't enjoy the course, it was hard to follow.",-0.4639,Negative,0.05416666666666667,0.5208333333333333,Positive
695,10,4,4,1,5,8,7,1,5.0,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
498,8,5,4,5,10,7,1,10,6.25,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
446,7,8,5,10,10,2,5,9,7.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
982,9,10,7,5,6,6,1,5,6.125,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
981,7,6,7,5,4,6,8,3,5.75,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
849,6,10,6,7,7,4,10,7,7.125,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
297,7,10,6,8,10,10,2,8,7.625,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
713,8,6,7,5,2,7,10,8,6.625,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
192,8,4,8,6,3,5,1,5,5.0,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
561,9,6,4,8,6,8,3,3,5.875,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
364,6,6,7,9,6,4,7,6,6.375,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
40,6,7,5,6,10,5,6,3,6.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
521,5,9,4,2,1,8,3,7,4.875,Low,"Didn't enjoy the course, it was hard to follow.",-0.4639,Negative,0.05416666666666667,0.5208333333333333,Positive
201,8,2,8,9,8,8,9,4,7.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
780,6,4,4,10,6,5,6,8,6.125,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
853,7,9,4,8,9,4,10,2,6.625,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
202,5,6,6,10,3,4,2,8,5.5,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
421,6,3,8,10,6,8,7,9,7.125,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
671,9,8,6,10,10,7,7,8,8.125,High,"Loved the course, assignments were challenging but fair.",0.6908,Positive,0.6333333333333333,0.9,Positive
334,5,9,4,3,8,10,4,2,5.625,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
843,6,8,5,4,5,5,10,6,6.125,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
57,10,7,6,10,4,4,2,4,5.875,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
353,6,7,5,3,6,6,7,5,5.625,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
681,7,2,7,5,2,1,3,7,4.25,Low,Assignments were confusing and not properly structured.,-0.2263,Negative,-0.15,0.25,Negative
394,6,3,6,10,7,4,3,3,5.25,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
188,7,6,8,9,9,8,9,10,8.25,High,"Loved the course, assignments were challenging but fair.",0.6908,Positive,0.6333333333333333,0.9,Positive
641,5,10,6,7,4,2,5,4,5.375,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
544,10,7,8,4,6,5,7,8,6.875,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
163,9,3,4,7,3,8,6,8,6.0,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
283,9,2,6,1,2,10,5,5,5.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
820,6,5,4,9,2,5,10,7,6.0,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
254,6,6,6,8,9,4,4,8,6.375,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
221,9,6,8,1,8,2,5,6,5.625,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
736,8,2,8,8,2,6,5,4,5.375,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
280,9,10,4,7,7,3,5,4,6.125,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
976,5,2,5,5,7,9,4,3,5.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
481,9,10,8,9,1,3,1,9,6.25,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
80,7,6,4,1,5,6,1,8,4.75,Low,The course was too difficult and explanations weren’t clear.,0.0258,Neutral,-0.2,0.6916666666666667,Negative
473,10,10,7,5,2,6,10,5,6.875,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
762,10,7,5,7,8,9,3,4,6.625,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
385,5,2,6,7,3,2,10,1,4.5,Low,Assignments were confusing and not properly structured.,-0.2263,Negative,-0.15,0.25,Negative
195,9,7,5,5,10,10,5,1,6.5,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
144,8,6,5,6,3,8,2,6,5.5,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
767,10,10,8,3,9,6,4,8,7.25,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
300,6,8,4,5,5,9,5,4,5.75,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
580,5,2,5,8,6,5,4,9,5.5,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
216,5,9,8,2,4,8,9,10,6.875,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
583,9,3,4,6,5,3,8,7,5.625,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
881,7,9,5,9,4,5,4,8,6.375,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
488,8,8,6,9,7,4,6,1,6.125,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
892,5,8,8,9,6,9,10,6,7.625,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
152,7,2,5,1,5,10,5,6,5.125,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
925,7,10,6,7,9,10,1,3,6.625,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
729,9,9,8,7,5,4,5,5,6.5,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
647,5,5,8,8,9,6,9,8,7.25,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
686,8,6,5,5,2,6,5,8,5.625,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
93,9,10,6,4,9,6,7,8,7.375,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
485,8,4,7,1,4,7,1,4,4.5,Low,"Didn't enjoy the course, it was hard to follow.",-0.4639,Negative,0.05416666666666667,0.5208333333333333,Positive
59,5,8,5,6,10,3,4,10,6.375,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
907,10,4,7,6,1,2,5,1,4.5,Low,Assignments were confusing and not properly structured.,-0.2263,Negative,-0.15,0.25,Negative
158,10,6,5,6,2,10,3,8,6.25,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
955,10,4,4,1,10,1,10,10,6.25,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
758,8,3,7,7,9,6,7,5,6.5,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
605,6,4,4,4,7,5,5,2,4.625,Low,"Didn't enjoy the course, it was hard to follow.",-0.4639,Negative,0.05416666666666667,0.5208333333333333,Positive
475,10,6,4,9,3,1,6,7,5.75,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
154,9,7,4,8,2,6,3,9,6.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
79,6,4,6,6,6,4,9,10,6.375,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
36,10,6,5,2,1,9,9,6,6.0,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
562,6,3,6,7,8,7,4,1,5.25,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
231,10,7,8,1,3,3,3,3,4.75,Low,Assignments were confusing and not properly structured.,-0.2263,Negative,-0.15,0.25,Negative
869,8,7,6,2,9,4,1,7,5.5,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
608,7,4,6,5,4,7,8,7,6.0,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
846,10,7,7,4,7,10,7,1,6.625,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
542,10,4,7,7,2,2,5,9,5.75,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
941,9,3,7,2,9,7,3,1,5.125,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
919,10,2,8,5,6,3,8,5,5.875,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
352,6,2,6,3,5,3,8,6,4.875,Low,The course was too difficult and explanations weren’t clear.,0.0258,Neutral,-0.2,0.6916666666666667,Negative
839,9,2,5,10,4,4,9,1,5.5,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
266,8,8,5,6,6,8,2,2,5.625,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
298,8,4,8,9,7,1,7,3,5.875,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
929,10,2,6,1,1,9,9,7,5.625,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
574,6,4,8,5,9,5,7,10,6.75,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
250,5,7,7,3,1,6,3,1,4.125,Low,"Didn't enjoy the course, it was hard to follow.",-0.4639,Negative,0.05416666666666667,0.5208333333333333,Positive
616,9,8,6,9,6,3,5,8,6.75,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
164,8,5,7,10,8,9,10,1,7.25,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
827,6,3,4,9,7,8,7,6,6.25,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
228,7,6,6,1,6,6,6,9,5.875,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
787,10,10,5,10,1,9,3,8,7.0,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
317,8,8,4,1,10,10,9,1,6.375,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
110,9,6,4,1,4,7,9,5,5.625,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
165,6,2,6,2,2,10,2,2,4.0,Low,The course was too difficult and explanations weren’t clear.,0.0258,Neutral,-0.2,0.6916666666666667,Negative
701,5,9,7,1,9,9,1,9,6.25,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
362,7,9,6,7,4,8,1,2,5.5,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
890,8,7,5,3,9,1,4,5,5.25,Medium,"Presentations were okay, but assignments felt slightly hard.",0.0745,Positive,0.10416666666666666,0.5208333333333333,Positive
728,10,9,4,8,5,2,3,10,6.375,Medium,The course was good overall but some parts were a bit confusing.,-0.1027,Negative,0.13333333333333333,0.3333333333333333,Positive
466,9,8,5,5,6,2,10,4,6.125,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
709,9,3,6,4,4,8,10,1,5.625,Medium,"I learned a lot, but doubt-solving could be quicker.",0.0,Neutral,0.0,0.0,Neutral
